GEOID	NAME	variable	estimate	moe	zip_code	year	popup
10023	ZCTA5 10023	B01003_001	62435	2238	10023	2018	"ZIP 10023
Est: 62435"
10024	ZCTA5 10024	B01003_001	59001	2167	10024	2018	"ZIP 10024
Est: 59001"
10025	ZCTA5 10025	B01003_001	92805	2628	10025	2018	"ZIP 10025
Est: 92805"
10026	ZCTA5 10026	B01003_001	39363	1749	10026	2018	"ZIP 10026
Est: 39363"
10027	ZCTA5 10027	B01003_001	64548	1947	10027	2018	"ZIP 10027
Est: 64548"
10028	ZCTA5 10028	B01003_001	47793	2139	10028	2018	"ZIP 10028
Est: 47793"
10029	ZCTA5 10029	B01003_001	79597	2299	10029	2018	"ZIP 10029
Est: 79597"
10030	ZCTA5 10030	B01003_001	29882	1700	10030	2018	"ZIP 10030
Est: 29882"
10031	ZCTA5 10031	B01003_001	60254	2086	10031	2018	"ZIP 10031
Est: 60254"
10032	ZCTA5 10032	B01003_001	64264	2217	10032	2018	"ZIP 10032
Est: 64264"
10033	ZCTA5 10033	B01003_001	59607	2225	10033	2018	"ZIP 10033
Est: 59607"
10034	ZCTA5 10034	B01003_001	42910	1744	10034	2018	"ZIP 10034
Est: 42910"
10035	ZCTA5 10035	B01003_001	35743	1629	10035	2018	"ZIP 10035
Est: 35743"
10036	ZCTA5 10036	B01003_001	27428	1520	10036	2018	"ZIP 10036
Est: 27428"
10037	ZCTA5 10037	B01003_001	21139	1274	10037	2018	"ZIP 10037
Est: 21139"
10038	ZCTA5 10038	B01003_001	22800	1114	10038	2018	"ZIP 10038
Est: 22800"
10039	ZCTA5 10039	B01003_001	27726	1517	10039	2018	"ZIP 10039
Est: 27726"
10040	ZCTA5 10040	B01003_001	44571	1936	10040	2018	"ZIP 10040
Est: 44571"
10044	ZCTA5 10044	B01003_001	11682	825	10044	2018	"ZIP 10044
Est: 11682"
10065	ZCTA5 10065	B01003_001	28109	1660	10065	2018	"ZIP 10065
Est: 28109"
10069	ZCTA5 10069	B01003_001	5085	980	10069	2018	"ZIP 10069
Est: 5085"
10075	ZCTA5 10075	B01003_001	21556	2170	10075	2018	"ZIP 10075
Est: 21556"
10103	ZCTA5 10103	B01003_001	0	12	10103	2018	"ZIP 10103
Est: 0"
10110	ZCTA5 10110	B01003_001	0	12	10110	2018	"ZIP 10110
Est: 0"
10111	ZCTA5 10111	B01003_001	0	12	10111	2018	"ZIP 10111
Est: 0"
10112	ZCTA5 10112	B01003_001	0	12	10112	2018	"ZIP 10112
Est: 0"
10115	ZCTA5 10115	B01003_001	0	12	10115	2018	"ZIP 10115
Est: 0"
10119	ZCTA5 10119	B01003_001	0	12	10119	2018	"ZIP 10119
Est: 0"
10128	ZCTA5 10128	B01003_001	59256	1931	10128	2018	"ZIP 10128
Est: 59256"
10152	ZCTA5 10152	B01003_001	0	12	10152	2018	"ZIP 10152
Est: 0"
10153	ZCTA5 10153	B01003_001	0	12	10153	2018	"ZIP 10153
Est: 0"
10154	ZCTA5 10154	B01003_001	0	12	10154	2018	"ZIP 10154
Est: 0"
10162	ZCTA5 10162	B01003_001	1584	541	10162	2018	"ZIP 10162
Est: 1584"
10165	ZCTA5 10165	B01003_001	0	12	10165	2018	"ZIP 10165
Est: 0"
10167	ZCTA5 10167	B01003_001	0	12	10167	2018	"ZIP 10167
Est: 0"
10168	ZCTA5 10168	B01003_001	0	12	10168	2018	"ZIP 10168
Est: 0"
